step,continuous_action,discrete_action,reward,pnl,portfolio_value,position,position_change,pnl_component,pnl_unclipped,inactivity_penalty,opportunity_penalty,trade_bonus,total_reward
51,-0.43658268451690674,2,0.0,0.0,201052.90752834541,-0.03650589805282945,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
52,-0.3999671936035156,2,0.0,0.0,201175.0015043831,-0.03650589805282945,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
53,-0.3869017958641052,2,0.0,0.0,201064.75369226356,-0.03650589805282945,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
54,-0.38567936420440674,2,0.0,0.0,200878.79264758245,-0.03650589805282945,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
55,0.21697354316711426,0,-0.01,0.0,200710.6464811511,-0.03650589805282945,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
56,0.1509993076324463,0,-0.02,0.0,200862.3102346116,-0.03650589805282945,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
57,-0.7281544804573059,2,0.0,0.0,200918.14600568337,-0.03650589805282945,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
58,-0.412792444229126,2,0.0,0.0,200858.34934467284,-0.03650589805282945,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
59,0.38042664527893066,1,-2.199664389540709,-441.73482824625273,200321.1698459675,0.03640930878123322,0.07291520683406266,-2.2051330300532634,-2.2051330300532634,-0.0,-0.0,0.0054686405125547,-2.199664389540709
60,-0.3915258049964905,2,-2.2281173490365402,-446.43500418734635,199874.73484178013,-0.03634558297042009,-0.07275489175165331,-2.2335739659179144,-2.2335739659179144,-0.0,-0.0,0.005456616881373999,-2.2281173490365402
61,-0.48786401748657227,2,0.0,0.0,199908.11825973846,-0.03634558297042009,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
62,-0.09618133306503296,0,-0.01,0.0,200107.09215371002,-0.03634558297042009,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
63,0.3008617162704468,0,-0.02,0.0,200321.96724023114,-0.03634558297042009,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
64,-0.5839996933937073,2,0.0,0.0,200176.18510693678,-0.03634558297042009,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
65,-0.5647993087768555,2,0.0,0.0,199932.6515282435,-0.03634558297042009,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
66,-0.3980399966239929,2,0.0,0.0,199945.59055578095,-0.03634558297042009,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
67,0.3440471887588501,1,-2.3465849447307123,-469.0079984566788,199405.72684332347,0.036238220262346445,0.07258380323276653,-2.3520287299731697,-2.3520287299731697,-0.0,-0.0,0.00544378524245749,-2.3465849447307123
68,-0.5047417879104614,2,-1.4701733867649684,-293.8103671396065,199111.91647618386,-0.036171746801316546,-0.07240996706366298,-1.4756041342947432,-1.4756041342947432,-0.0,-0.0,0.005430747529774724,-1.4701733867649684
69,-0.3629751205444336,2,0.0,0.0,199227.50329308747,-0.036171746801316546,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
70,-0.5225123167037964,2,0.0,0.0,199162.7920380599,-0.036171746801316546,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
71,0.3784966468811035,1,-2.929631622164668,-582.6924165418195,198529.22405964203,0.03602073555447626,0.07219248235579281,-2.9350460583413525,-2.9350460583413525,-0.0,-0.0,0.005414436176684461,-2.929631622164668
72,-0.054309725761413574,0,-0.01,0.0,198522.8303790811,0.03602073555447626,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
73,-0.4795815944671631,2,-0.4198429076403567,-84.38683095191791,198444.83722869013,-0.03595046467536639,-0.07197120022984266,-0.4252407476575949,-0.4252407476575949,-0.0,-0.0,0.0053978400172382,-0.4198429076403567
74,-0.4948294162750244,2,0.0,0.0,198912.678600743,-0.03595046467536639,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
75,0.3478524684906006,1,-0.1729141820799531,-35.37861517557667,198409.45861351455,0.036008868310556934,0.07195933298592333,-0.17831113205389734,-0.17831113205389734,-0.0,-0.0,0.00539694997394425,-0.1729141820799531
76,-0.1548665165901184,0,-0.01,0.0,198424.99644019056,0.036008868310556934,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
77,-0.35403841733932495,2,-1.9872400033793762,-394.57169805596266,198014.88691545857,-0.03594488086226408,-0.07195374917282102,-1.9926365345673378,-1.9926365345673378,-0.0,-0.0,0.005396531187961576,-1.9872400033793762
78,-0.0035004019737243652,0,-0.01,0.0,197998.53199466623,-0.03594488086226408,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
79,-0.509513258934021,2,0.0,0.0,198352.73285068298,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
80,-0.37208092212677,2,0.0,0.0,198391.80493618027,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
81,0.2685157060623169,0,-0.01,0.0,198328.30830413708,-0.03594488086226408,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
82,-0.18826889991760254,0,-0.02,0.0,198065.40744551047,-0.03594488086226408,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
83,-0.35752493143081665,2,0.0,0.0,198157.74984444564,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
84,-0.4099152088165283,2,0.0,0.0,198301.6911198586,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
85,-0.38899552822113037,2,0.0,0.0,198390.96023148,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
86,-0.5419088006019592,2,0.0,0.0,198228.18383849526,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
87,0.1932218074798584,0,-0.01,0.0,198169.68354489192,-0.03594488086226408,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
88,-0.3992847204208374,2,0.0,0.0,198264.0029122745,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
89,0.24266839027404785,0,-0.01,0.0,198172.66697000348,-0.03594488086226408,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
90,-0.2963978052139282,0,-0.02,0.0,198155.37748230872,-0.03594488086226408,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
91,-0.47451555728912354,2,0.0,0.0,197982.91394393158,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
92,-0.35504257678985596,2,0.0,0.0,198108.03807421314,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
93,-0.4006767272949219,2,0.0,0.0,198166.394588293,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
94,-0.4032313823699951,2,0.0,0.0,198236.19954692753,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
95,-0.37782561779022217,2,0.0,0.0,198496.67412609592,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
96,-0.532419741153717,2,0.0,0.0,198444.05082051357,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
97,-0.26346874237060547,0,-0.01,0.0,198397.6459793204,-0.03594488086226408,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
98,-0.5707767605781555,2,0.0,0.0,198396.7293848584,-0.03594488086226408,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
