timestamp,equity
2024-01-01 00:19:00,100000.0
2024-01-01 00:20:00,99950.02498750626
2024-01-01 00:21:00,99927.45864063103
2024-01-01 00:22:00,99934.20656251207
2024-01-01 00:23:00,99791.82548297146
2024-01-01 00:24:00,99737.50053712969
2024-01-01 00:25:00,99748.56367898044
2024-01-01 00:26:00,99633.75372282886
2024-01-01 00:27:00,99671.18592666285
2024-01-01 00:28:00,99611.3195561252
2024-01-01 00:29:00,99582.26355680202
2024-01-01 00:30:00,99522.34425035912
2024-01-01 00:31:00,99706.68731748527
2024-01-01 00:32:00,99705.34155391867
2024-01-01 00:33:00,99599.8821244818
2024-01-01 00:34:00,99681.80750076937
2024-01-01 00:35:00,99560.11159906442
2024-01-01 00:36:00,99580.90608189208
2024-01-01 00:37:00,99385.76035533453
2024-01-01 00:38:00,99253.7575749714
2024-01-01 00:39:00,99273.29679235228
2024-01-01 00:40:00,99346.6068043194
2024-01-01 00:41:00,99363.6316615695
2024-01-01 00:42:00,99352.14042823599
2024-01-01 00:43:00,99322.22513158833
2024-01-01 00:44:00,99175.37503759905
2024-01-01 00:45:00,99103.98421826286
2024-01-01 00:46:00,99058.33308077534
2024-01-01 00:47:00,99163.04984636724
2024-01-01 00:48:00,99197.12408394384
2024-01-01 00:49:00,99022.23557088734
2024-01-01 00:50:00,99054.3270900495
2024-01-01 00:51:00,99016.18302388856
2024-01-01 00:52:00,98949.15679121338
2024-01-01 00:53:00,99009.68164422335
2024-01-01 00:54:00,99111.76057872102
2024-01-01 00:55:00,99204.06139091858
2024-01-01 00:56:00,99120.80760422446
2024-01-01 00:57:00,99090.15822380886
2024-01-01 00:58:00,99122.98316964041
2024-01-01 00:59:00,99219.6821128574
2024-01-01 01:00:00,99172.13859730169
2024-01-01 01:01:00,99153.72639953616
2024-01-01 01:02:00,99044.02916421734
2024-01-01 01:03:00,98925.55204045546
2024-01-01 01:04:00,99005.93160598291
2024-01-01 01:05:00,99140.20741349291
2024-01-01 01:06:00,99133.06831510356
2024-01-01 01:07:00,99232.55161042674
2024-01-01 01:08:00,99268.43767594646
2024-01-01 01:09:00,99204.39764579294
2024-01-01 01:10:00,99240.24967914922
2024-01-01 01:11:00,99392.88481202096
2024-01-01 01:12:00,99389.32395864246
2024-01-01 01:13:00,99544.83283382999
2024-01-01 01:14:00,99284.05074537612
2024-01-01 01:15:00,99365.65255532827
2024-01-01 01:16:00,99374.30204406679
2024-01-01 01:17:00,99344.58839730821
2024-01-01 01:18:00,99353.70433388416
2024-01-01 01:19:00,99156.23199959968
2024-01-01 01:20:00,99134.45016292547
2024-01-01 01:21:00,99169.85232134856
2024-01-01 01:22:00,99316.41485551218
2024-01-01 01:23:00,99264.94211550686
2024-01-01 01:24:00,99184.68704481491
2024-01-01 01:25:00,99134.92042947446
2024-01-01 01:26:00,99225.66874557381
