episode,reward,final_portfolio,steps
0,-118.44736460956483,28815.52635390435,200
1,-117.72700798907317,28822.72992010927,200
2,-126.3529937777057,28736.470062222943,200
3,-115.57281928927114,28844.27180710729,200
4,-4.11007549961505,29958.89924500385,200
5,-123.45449288921372,28765.455071107863,200
6,-253.70744010525232,27462.925598947477,200
7,-123.23952503289183,28767.60474967108,200
8,-245.7858262929949,27542.14173707005,200
9,-227.0947113721486,27729.052886278514,200
