step,value
143,23115.597240899588
144,23215.595997267737
145,23315.594753636324
146,23415.59351000491
147,23515.59226637306
148,23615.591022741355
149,23715.589779110087
150,23815.588535478964
151,23915.58729184755
152,24015.586048216574
153,24115.584804585596
154,24215.58356095433
155,24315.58231732335
156,24415.581073692374
157,24515.57983006125
158,24615.5785864294
159,24715.57734279755
160,24815.57609916599
161,24915.574855533996
162,25015.573611902437
163,25115.572368270587
164,25215.571124639173
165,25315.56988100776
166,25415.56863737591
167,25515.56739374406
168,25615.56615011279
169,25715.564906481522
170,25815.563662849963
171,25915.56241921884
172,26015.561175587718
173,26115.55993195616
174,26215.558688325036
175,26315.557444693477
176,26415.556201062354
177,26515.55495743123
178,26615.553713799673
179,26715.55247016855
180,26815.55122653728
181,26915.54998290543
182,27015.54873927358
183,27115.547495642168
184,27215.546252010754
185,27315.545008378904
186,27415.5437647472
187,27515.54252111593
188,27615.54127748481
189,27715.540033853686
190,27815.538790222272
191,27915.537546590276
192,28015.536302958135
193,28115.535059325994
194,28215.533815694434
195,28315.53257206302
196,28415.53132843117
197,28515.530084799757
198,28615.528841168343
199,28715.527597536347
200,28815.52635390435
201,10000.0
202,10069.94999408722
203,10138.888771533966
204,10202.907264232635
205,10257.839367389679
206,10299.439551830292
207,10323.614909648895
208,10326.70604467392
209,10306.036031246185
210,10272.74686574936
211,10255.635764598846
212,10255.58390378952
213,10272.688472270966
214,10306.594889163971
215,10356.303989887238
216,10419.045174121857
217,10491.820631027222
218,10572.185339927673
219,10658.097159862518
220,10748.166028857231
221,10841.267094016075
222,10936.403426229954
223,11032.80728340149
224,11130.086461603642
225,11228.038753420115
226,11326.533499658108
227,11425.443987101316
228,11524.663300663233
229,11624.11383755505
230,11723.729120828211
231,11823.462124951184
232,11923.280134648085
233,12023.158583929762
234,12123.077697521076
235,12223.023804193363
236,12322.987878222484
237,12422.964132681955
238,12522.948276980314
239,12622.93775285245
240,12722.930742175085
241,12822.9260780412
242,12922.922953572706
243,13022.920822585002
244,13122.91932015025
245,13222.91820179984
246,13322.917304891744
247,13422.916519107748
248,13522.91577583208
249,13622.915035227488
250,13722.914272776397
251,13822.913475032692
252,13922.91263559222
253,14022.911752578511
254,14122.910826892039
255,14222.909861047956
256,14322.908858402225
257,14422.9078226602
258,14522.906757565579
259,14622.905666714869
260,14722.904553440676
261,14822.903420767616
262,14922.90227139405
263,15022.901107705547
264,15122.899931784923
265,15222.898745439452
266,15322.897550228809
267,15422.896347493515
268,15522.895138380773
269,15622.893923869997
270,15722.892704791884
271,15822.891481858096
272,15922.890255665407
273,16022.889026725461
274,16122.887795468414
275,16222.886562256463
276,16322.885327398253
277,16422.884091152227
278,16522.882853737974
279,16622.881615339575
280,16722.880376111716
281,16822.879136187257
282,16922.877895676356
283,17022.8766546688
284,17122.87541324651
285,17222.87417147323
286,17322.87292940615
287,17422.871687090083
288,17522.870444565197
289,17622.86920186525
290,17722.867959017167
291,17822.866716044955
292,17922.865472968406
293,18022.864229804545
294,18122.862986565597
295,18222.86174326451
296,18322.860499912058
297,18422.859256515512
298,18522.85801308084
299,18622.856769616483
300,18722.855526126223
301,18822.854282612825
302,18922.853039081238
303,19022.851795533352
304,19122.850551973388
305,19222.84930840062
306,19322.848064820137
307,19422.84682123165
308,19522.84557763618
309,19622.84433403518
310,19722.84309042996
311,19822.841846820083
312,19922.840603207296
313,20022.83935959218
314,20122.8381159743
315,20222.836872353946
316,20322.835628732282
317,20422.834385109018
318,20522.833141485462
319,20622.831897860306
320,20722.830654235295
321,20822.829410607956
322,20922.82816698047
323,21022.826923352404
324,21122.825679723464
325,21222.824436094525
326,21322.823192465148
327,21422.821948835335
328,21522.820705204358
329,21622.819461573963
330,21722.81821794386
331,21822.8169743123
332,21922.815730681323
333,22022.81448704991
334,22122.813243418932
335,22222.811999787955
336,22322.810756156687
337,22422.809512524836
338,22522.80826889284
339,22622.80702526128
340,22722.805781629286
341,22822.804537997727
342,22922.803294365876
343,23022.802050734463
344,23122.800807102758
345,23222.79956347149
346,23322.79831984022
347,23422.797076208954
348,23522.795832577103
349,23622.794588945108
350,23722.793345313403
351,23822.79210168228
352,23922.790858051303
353,24022.78961442047
354,24122.788370789494
355,24222.78712715808
356,24322.785883526813
357,24422.7846398954
358,24522.783396263403
359,24622.782152631262
360,24722.780908999266
361,24822.779665367852
362,24922.778421736584
363,25022.77717810517
364,25122.77593447332
365,25222.77469084147
366,25322.773447210056
367,25422.77220357879
368,25522.770959947375
369,25622.76971631538
370,25722.768472683383
371,25822.767229051533
372,25922.765985420265
373,26022.764741789142
374,26122.76349815802
375,26222.762254526606
376,26322.761010895483
377,26422.75976726407
378,26522.758523633092
379,26622.757280002115
380,26722.756036371138
381,26822.75479273958
382,26922.753549108165
383,27022.752305476315
384,27122.751061844465
385,27222.749818213197
386,27322.74857458193
387,27422.747330950515
388,27522.746087318665
389,27622.74484368667
390,27722.74360005482
391,27822.742356423696
392,27922.74111279272
393,28022.739869161887
394,28122.73862553091
395,28222.737381899497
396,28322.73613826823
397,28422.734894636815
398,28522.73365100482
399,28622.732407372678
400,28722.731163740682
401,28822.72992010927
402,10000.0
403,10094.100650548935
404,10188.781147003174
405,10283.79718542099
406,10378.929221332073
407,10473.959239721298
408,10568.6485517025
409,10662.712118029594
410,10755.766475200653
411,10847.242018580437
412,10936.148758530617
413,11020.448865294456
414,11096.652066111565
415,11160.664429068565
416,11207.618512511253
417,11232.038912177086
418,11228.66767346859
419,11193.214029669762
420,11132.895101904869
421,11091.576218008995
422,11071.102051138878
423,11072.923988699913
424,11100.069817900658
425,11148.736709952354
426,11213.88881623745
427,11290.872179865837
428,11375.153072476387
429,11464.142596125603
430,11556.535746455193
431,11651.221774220467
432,11747.34701603651
433,11844.430740475655
434,11942.226183265448
435,12040.598091930151
436,12139.414990022779
437,12238.565233796835
438,12337.963878288865
439,12437.542900256813
440,12537.249925676733
441,12637.048998977989
442,12736.914434982464
443,12836.824862016365
444,12936.765265394934
445,13036.725445347838
446,13136.699072741903
447,13236.681529537309
448,13336.66987820412
449,13436.662117166561
450,13536.656954406062
451,13636.653505349532
452,13736.651166111114
453,13836.64953363128
454,13936.648337271836
455,14036.647396863264
456,14136.646591853641
457,14236.645842267535
458,14336.645103867631
459,14436.64434847713
460,14536.643560384473
461,14636.642731683824
462,14736.64185956448
463,14836.640944357132
464,14936.639988258758
465,15036.638994473178
466,15136.637966651833
467,15236.636908548462
468,15336.635823813122
469,15436.634715849214
470,15536.633587759206
471,15636.632442325426
472,15736.631282009112
473,15836.630108966638
474,15936.628925071345
475,16036.627731942863
476,16136.626530973663
477,16236.625323356784
478,16336.624110111443
479,16436.62289210508
480,16536.62167007482
481,16636.62044464698
482,16736.619216350955
483,16836.617985636258
484,16936.616752881964
485,17036.61551840938
486,17136.61428248888
487,17236.613045347476
488,17336.61180717958
489,17436.61056814759
490,17536.60932838553
491,17636.608088010835
492,17736.606847119983
493,17836.605605794175
494,17936.604364104132
495,18036.60312210588
496,18136.601879849914
497,18236.60063737465
498,18336.599394717196
499,18436.598151904618
500,18536.5969089618
501,18636.59566590999
502,18736.594422765775
503,18836.59317954487
504,18936.591936259065
505,19036.59069291767
506,19136.589449530584
507,19236.588206105516
508,19336.58696264669
509,19436.585719161812
510,19536.584475652926
511,19636.583232125267
512,19736.581988581165
513,19836.580745024112
514,19936.579501453525
515,20036.578257874935
516,20136.577014287905
517,20236.575770693453
518,20336.57452709289
519,20436.573283488688
520,20536.572039879247
521,20636.570796266606
522,20736.5695526512
523,20836.56830903332
524,20936.5670654134
525,21036.565821791446
526,21136.564578168473
527,21236.56333454448
528,21336.56209091947
529,21436.560847293295
530,21536.55960366741
531,21636.558360038907
532,21736.557116411423
533,21836.555872783065
534,21936.554629154125
535,22036.553385524312
536,22136.552141894354
537,22236.550898263667
538,22336.549654633127
539,22436.548411002004
540,22536.547167371027
541,22636.545923739468
542,22736.5446801082
543,22836.543436476495
544,22936.54219284479
545,23036.540949213522
546,23136.5397055824
547,23236.53846195084
548,23336.537218319718
549,23436.535974688595
550,23536.534731057327
551,23636.533487425477
552,23736.53224379348
553,23836.531000161922
554,23936.529756529926
555,24036.528512898076
556,24136.527269266953
557,24236.526025635976
558,24336.524782005145
559,24436.523538374167
560,24536.52229474261
561,24636.52105111134
562,24736.519807479635
563,24836.51856384822
564,24936.51732021637
565,25036.516076584812
566,25136.514832952962
567,25236.51358932155
568,25336.512345689844
569,25436.511102058575
570,25536.509858427307
571,25636.508614795603
572,25736.50737116419
573,25836.506127532484
574,25936.50488390107
575,26036.503640269366
576,26136.502396638098
577,26236.50115300683
578,26336.499909375416
579,26436.49866574342
580,26536.49742211128
581,26636.496178479283
582,26736.49493484787
583,26836.4936912166
584,26936.492447585333
585,27036.49120395363
586,27136.489960321924
587,27236.488716690656
588,27336.487473059533
589,27436.48622942812
590,27536.484985797142
591,27636.483742166165
592,27736.48249853475
593,27836.48125490363
594,27936.480011272215
595,28036.478767641238
596,28136.47752401026
597,28236.476280378847
598,28336.475036747725
599,28436.47379311631
600,28536.472549485334
601,28636.471305854357
602,28736.470062222943
603,10000.0
604,10072.03242778778
605,10139.560327529907
606,10198.430948257446
607,10244.329571723938
608,10273.000121116638
609,10280.475811958313
610,10263.705945014954
611,10223.33734035492
612,10199.43989276886
613,10193.080096244812
614,10204.660077095032
615,10234.396171569824
616,10282.01922416687
617,10343.630821704865
618,10415.568525791168
619,10495.307967662811
620,10580.768212080002
621,10670.493417978287
622,10763.356803655624
623,10858.340559005737
624,10954.64493662119
625,11051.852936446667
626,11149.74801838398
627,11248.197824060917
628,11347.074230387807
629,11446.268383339047
630,11545.700258500874
631,11645.302373059094
632,11745.026015415788
633,11844.837126564234
634,11944.710934357718
635,12044.626923371106
636,12144.57097931765
637,12244.533656551503
638,12344.50896364171
639,12444.49250214384
640,12544.481573317898
641,12644.474293316598
642,12744.469450404868
643,12844.46620970848
644,12944.464004293259
645,13044.46245550178
646,13144.461309470644
647,13244.460397235089
648,13344.459604816802
649,13444.458859513034
650,13544.458119909395
651,13644.457360177257
652,13744.456566058798
653,13844.455730613117
654,13944.45485162898
655,14044.45392980837
656,14144.452967549223
657,14244.451968159628
658,14344.450935323039
659,14444.449872792902
660,14544.448784183915
661,14644.447672853566
662,14744.446541857324
663,14844.44539392738
664,14944.444231471862
665,15044.443056604141
666,15144.441871153249
667,15244.440676703089
668,15344.439474612664
669,15444.438266047
670,15544.437051998102
671,15644.435833312164
672,15744.434610708558
673,15844.433384795702
674,15944.432156091352
675,16044.430925032066
676,16144.429691987752
677,16244.428457270551
678,16344.427221144288
679,16444.42598382928
680,16544.424745514552
681,16644.423506357998
682,16744.422266491893
683,16844.421026028722
684,16944.419785063656
685,17044.41854367673
686,17144.41730193299
687,17244.416059891082
688,17344.41481759728
689,17444.413575090584
690,17544.412332406355
691,17644.411089570785
692,17744.409846609924
693,17844.40860354298
694,17944.407360386394
695,18044.406117154285
696,18144.40487385844
697,18244.403630510205
698,18344.402387116716
699,18444.401143685245
700,18544.399900223216
701,18644.39865673441
702,18744.397413222614
703,18844.39616969248
704,18944.394926146342
705,19044.39368258725
706,19144.39243901623
707,19244.391195436183
708,19344.389951848134
709,19444.388708252663
710,19544.38746465239
711,19644.38622104746
712,19744.38497743773
713,19844.383733824943
714,19944.382490209537
715,20044.381246592093
716,20144.380002971448
717,20244.37875935022
718,20344.377515726956
719,20444.37627210311
720,20544.37502847839
721,20644.373784853087
722,20744.372541225894
723,20844.371297599282
724,20944.370053971652
725,21044.368810343003
726,21144.3675667145
727,21244.366323084105
728,21344.36507945473
729,21444.36383582579
730,21544.362592196267
731,21644.361348566308
732,21744.360104935477
733,21844.358861304645
734,21944.357617673086
735,22044.35637404138
736,22144.355130409676
737,22244.35388677841
738,22344.35264314714
739,22444.351399515872
740,22544.35015588402
741,22644.34891225217
742,22744.347668620467
743,22844.346424989344
744,22944.345181358512
745,23044.34393772768
746,23144.34269409685
747,23244.341450465727
748,23344.340206834022
749,23444.33896320217
750,23544.33771957032
751,23644.336475939053
752,23744.33523230793
753,23844.33398867637
754,23944.33274504525
755,24044.33150141427
756,24144.330257782858
757,24244.329014151735
758,24344.32777052032
759,24444.326526889345
760,24544.325283258368
761,24644.32403962739
762,24744.32279599583
763,24844.321552364127
764,24944.32030873286
765,25044.31906510159
766,25144.317821470177
767,25244.31657783818
768,25344.315334206185
769,25444.31409057448
770,25544.312846942485
771,25644.311603310925
772,25744.310359679075
773,25844.30911604766
774,25944.307872416248
775,26044.306628784398
776,26144.305385152547
777,26244.30414152128
778,26344.302897890157
779,26444.301654258597
780,26544.300410627475
781,26644.299166996352
782,26744.29792336494
783,26844.296679733816
784,26944.295436102402
785,27044.294192471425
786,27144.292948840448
787,27244.291705209034
788,27344.290461578057
789,27444.28921794679
790,27544.287974315957
791,27644.286730685126
792,27744.28548705415
793,27844.28424342259
794,27944.28299979132
795,28044.28175615947
796,28144.28051252762
797,28244.279268896353
798,28344.278025265085
799,28444.276781633816
800,28544.275538001966
801,28644.274294370116
802,28744.27305073841
803,28844.27180710729
804,10000.0
805,10095.248933136463
806,10191.206949949265
807,10287.710040807724
808,10384.636922478676
809,10481.898122727871
810,10579.427942484617
811,10677.178407162428
812,10775.114833414555
813,10873.212537765503
814,10971.454298496246
815,11069.828298091888
816,11168.326275348663
817,11266.941744238138
818,11365.668044537306
819,11464.49633359909
820,11563.41438934207
821,11662.413161918521
822,11761.516960784793
823,11860.82462221384
824,11960.337798818946
825,12059.993608184159
826,12159.750580191612
827,12259.577264599502
828,12359.453373579308
829,12459.363973848522
830,12559.29906741716
831,12659.251571865752
832,12759.216465577483
833,12859.190308637917
834,12959.170562368818
835,13059.155542213703
836,13159.143961966038
837,13259.134909060667
838,13359.127719898243
839,13459.12191179872
840,13559.117137940484
841,13659.113144188887
842,13759.109742811997
843,13859.106794496183
844,13959.104195224354
845,14059.101866841374
846,14159.099750231544
847,14259.097800363525
848,14359.09598272192
849,14459.094270618953
850,14559.092643088079
851,14659.091083709209
852,14759.089579556894
853,14859.088120372035
854,14959.086697962048
855,15059.085305743356
856,15159.08393839345
857,15259.082591589977
858,15359.081261807296
859,15459.079946156271
860,15559.078642259992
861,15659.07734815919
862,15759.076062231034
863,15859.074783133838
864,15959.073509746668
865,16059.072241141694
866,16159.070976541843
867,16259.06971530043
868,16359.068456875539
869,16459.067200813442
870,16559.0659467355
871,16659.06469432375
872,16759.06344331088
873,16859.062193473947
874,16959.060944625526
875,17059.05969660642
876,17159.05844928595
877,17259.057202552212
878,17359.05595631135
879,17459.054710486234
880,17559.053465009492
881,17659.052219826408
882,17759.050974890415
883,17859.049730162078
884,17959.048485608364
885,18059.04724120206
886,18159.04599691872
887,18259.044752739137
888,18359.043508647446
889,18459.042264628515
890,18559.04102067114
891,18659.039776766003
892,18759.038532904233
893,18859.03728907957
894,18959.036045284447
895,19059.034801516827
896,19159.033557771472
897,19259.03231404358
898,19359.031070331257
899,19459.029826632177
900,19559.02858294343
901,19659.02733926414
902,19759.026095592417
903,19859.024851926224
904,19959.023608268035
905,20059.02236461363
906,20159.021120963007
907,20259.01987731573
908,20359.018633672094
909,20459.017390029912
910,20559.016146389185
911,20659.01490275137
912,20759.01365911428
913,20859.01241547879
914,20959.011171844177
915,21059.009928209998
916,21159.00868457713
917,21259.00744094397
918,21359.006197311246
919,21459.00495367925
920,21559.00371004769
921,21659.002466416277
922,21759.001222784864
923,21858.999979153014
924,21958.998735521163
925,22058.997491889895
926,22158.996248258627
927,22258.995004627068
928,22358.993760995945
929,22458.992517364823
930,22558.991273733263
931,22658.99003010214
932,22758.988786470727
933,22858.987542839604
934,22958.98629920848
935,23058.985055577068
936,23158.983811945945
937,23258.982568314386
938,23358.981324683264
939,23458.98008105214
940,23558.978837420873
941,23658.977593789023
942,23758.976350157027
943,23858.975106525468
944,23958.973862893472
945,24058.972619261913
946,24158.971375630063
947,24258.97013199865
948,24358.968888367235
949,24458.967644735385
950,24558.966401103535
951,24658.965157472267
952,24758.963913841144
953,24858.96267020973
954,24958.961426578753
955,25058.960182947776
956,25158.958939316362
957,25258.957695685385
958,25358.956452054263
959,25458.955208422994
960,25558.953964791144
961,25658.95272115915
962,25758.951477527153
963,25858.95023389574
964,25958.94899026447
965,26058.947746632766
966,26158.946503001498
967,26258.94525937023
968,26358.944015738816
969,26458.94277210682
970,26558.94152847468
971,26658.940284842683
972,26758.93904121127
973,26858.937797579856
974,26958.936553948442
975,27058.935310316592
976,27158.934066684742
977,27258.93282305333
978,27358.93157942206
979,27458.930335790646
980,27558.92909215865
981,27658.927848526655
982,27758.926604894805
983,27858.925361263537
984,27958.924117632414
985,28058.922874001437
986,28158.921630370023
987,28258.920386739046
988,28358.919143107923
989,28458.917899476655
990,28558.916655844805
991,28658.91541221281
992,28758.914168581105
993,28858.91292494911
994,28958.911681317404
995,29058.91043768541
996,29158.909194053558
997,29258.90795042229
998,29358.906706791313
999,29458.905463160336
1000,29558.904219528922
1001,29658.902975897945
1002,29758.901732266968
1003,29858.9004886357
1004,29958.89924500385
1005,10000.0
1006,10092.069942355156
1007,10184.4997215271
1008,10276.126738786697
1009,10364.786216020584
1010,10447.838462591171
1011,10522.653959989548
1012,10585.716189146042
1013,10632.433470487595
1014,10657.704886198044
1015,10656.672724485397
1016,10625.576523542404
1017,10564.98879313469
1018,10523.91361117363
1019,10503.758829832077
1020,10505.643481016159
1021,10530.248254537582
1022,10575.719879865646
1023,10637.722924947739
1024,10712.377334833145
1025,10795.967016220093
1026,10885.648494958878
1027,10979.24208164215
1028,11075.123055577278
1029,11172.322769761086
1030,11270.338091403246
1031,11368.948631882668
1032,11467.983646690845
1033,11567.314494997263
1034,11666.84361871332
1035,11766.51095494628
1036,11866.275892872363
1037,11966.10809346661
1038,12065.988149540499
1039,12165.901512363926
1040,12265.838555698283
1041,12365.792450159788
1042,12465.75834224699
1043,12565.732903738972
1044,12665.713680537883
1045,12765.699042459019
1046,12865.687741915463
1047,12965.67889495287
1048,13065.67185814085
1049,13165.66616336233
1050,13265.661474831868
1051,13365.657545657887
1052,13465.65419352235
1053,13565.651283024054
1054,13665.648713009432
1055,13765.64640742814
1056,13865.644308716728
1057,13965.642372996954
1058,14065.64056662537
1059,14165.63886353324
1060,14265.637243244564
1061,14365.635689720802
1062,14465.634190326527
1063,14565.632735026593
1064,14665.631315801584
1065,14765.629926202237
1066,14865.628561013
1067,14965.62721599883
1068,15065.625887700007
1069,15165.624573281966
1070,15265.623270412761
1071,15365.621977169503
1072,15465.620691957592
1073,15565.619413458335
1074,15665.618140572187
1075,15765.616872386163
1076,15865.615608137741
1077,15965.614347191295
1078,16065.613089012186
1079,16165.611833157309
1080,16265.61057925297
1081,16365.60932698645
1082,16465.608076096687
1083,16565.606826364092
1084,16665.60557760211
1085,16765.604329656926
1086,16865.60308239641
1087,16965.60183571477
1088,17065.60058951669
1089,17165.599343727517
1090,17265.598098281334
1091,17365.59685312386
1092,17465.595608209842
1093,17565.59436349984
1094,17665.593118962133
1095,17765.591874568054
1096,17865.590630295483
1097,17965.589386124047
1098,18065.58814203905
1099,18165.586898026668
1100,18265.58565407482
1101,18365.58441017478
1102,18465.583166316646
1103,18565.58192249562
1104,18665.58067870472
1105,18765.5794349387
1106,18865.57819119509
1107,18965.5769474688
1108,19065.57570375706
1109,19165.57446005885
1110,19265.573216369812
1111,19365.571972690377
1112,19465.570729017927
1113,19565.569485352025
1114,19665.568241692526
1115,19765.566998037102
1116,19865.56575438648
1117,19965.56451073906
1118,20065.56326709513
1119,20165.562023452803
1120,20265.560779812076
1121,20365.55953617397
1122,20465.558292537316
1123,20565.557048903283
1124,20665.555805269105
1125,20765.554561636236
1126,20865.553318003076
1127,20965.552074370207
1128,21065.55083073821
1129,21165.549587106216
1130,21265.548343475093
1131,21365.547099844407
1132,21465.545856214158
1133,21565.544612583326
1134,21665.543368951912
1135,21765.5421253205
1136,21865.540881688503
1137,21965.53963805636
1138,22065.53839442422
1139,22165.53715079266
1140,22265.535907161247
1141,22365.534663529397
1142,22465.533419897984
1143,22565.53217626657
1144,22665.53093263472
1145,22765.52968900287
1146,22865.5284453716
1147,22965.527201740333
1148,23065.525958108774
1149,23165.52471447765
1150,23265.52347084653
1151,23365.522227215115
1152,23465.52098358312
1153,23565.519739950978
1154,23665.518496318982
1155,23765.51725268757
1156,23865.516009056155
1157,23965.51476542445
1158,24065.513521793182
1159,24165.512278161914
1160,24265.5110345305
1161,24365.509790898504
1162,24465.508547266363
1163,24565.507303634367
1164,24665.506060002954
1165,24765.504816371686
1166,24865.503572740417
1167,24965.502329109004
1168,25065.501085477008
1169,25165.499841844867
1170,25265.498598212725
1171,25365.497354581166
1172,25465.496110949607
1173,25565.494867317757
1174,25665.493623686343
1175,25765.49238005464
1176,25865.49113642337
1177,25965.489892792102
1178,26065.488649160397
1179,26165.487405528984
1180,26265.48616189728
1181,26365.484918265865
1182,26465.48367463445
1183,26565.4824310026
1184,26665.48118737075
1185,26765.479943739338
1186,26865.478700107924
1187,26965.47745647622
1188,27065.476212844806
1189,27165.4749692131
1190,27265.473725581833
1191,27365.472481950565
1192,27465.47123831886
1193,27565.469994687446
1194,27665.468751055596
1195,27765.467507424182
1196,27865.466263792332
1197,27965.46502016092
1198,28065.463776529505
1199,28165.462532897654
1200,28265.461289265804
1201,28365.46004563439
1202,28465.458802003122
1203,28565.45755837171
1204,28665.45631473986
1205,28765.455071107863
1206,10000.0
1207,10012.316360473633
1208,10024.66555595398
1209,10036.014852523804
1210,10044.77801322937
1211,10049.42102432251
1212,10048.590116500854
1213,10052.144441604614
1214,10060.830392837524
1215,10075.113868713379
1216,10095.284633636475
1217,10121.43632888794
1218,10153.45705986023
1219,10191.032981872559
1220,10233.665194511414
1221,10280.690016746521
1222,10331.305274963379
1223,10384.58902835846
1224,10439.356384277344
1225,10493.31916809082
1226,10542.970070838928
1227,10584.6111536026
1228,10614.66070652008
1229,10629.872517585754
1230,10627.604269981384
1231,10606.073269844055
1232,10594.659161567688
1233,10596.7866563797
1234,10612.822289466858
1235,10642.515535354614
1236,10684.984474182129
1237,10738.811783790588
1238,10802.307183742523
1239,10873.730247020721
1240,10951.474890708923
1241,11034.156799316406
1242,11120.639536380768
1243,11210.021753311157
1244,11301.604671478271
1245,11394.856246709824
1246,11489.37742114067
1247,11584.871738255024
1248,11681.120082437992
1249,11777.960581183434
1250,11875.272952318192
1251,11972.965995371342
1252,12070.967918783426
1253,12169.220449775457
1254,12267.686758339405
1255,12366.390275508165
1256,12465.427218303084
1257,12564.757610037923
1258,12664.286383874714
1259,12763.953470550478
1260,12863.718235921115
1261,12963.550317008048
1262,13063.430287586525
1263,13163.343590572476
1264,13263.280591634102
1265,13363.234456088394
1266,13463.200326457154
1267,13563.174872344825
1268,13663.155637753662
1269,13763.140991393011
1270,13863.129684771411
1271,13963.120833334979
1272,14063.113793215016
1273,14163.108095978969
1274,14263.103405594884
1275,14363.099475017807
1276,14463.096121811832
1277,14563.093210489897
1278,14663.09063983761
1279,14763.088333759952
1280,14863.086234658258
1281,14963.084298629983
1282,15063.082492012909
1283,15163.080788724183
1284,15263.079168277472
1285,15363.07761462609
1286,15463.076115127042
1287,15563.074659742415
1288,15663.073240447557
1289,15763.071850791312
1290,15863.070485555072
1291,15963.069140502193
1292,16063.067812170775
1293,16163.066497725522
1294,16263.06519483449
1295,16363.063901570567
1296,16463.06261634396
1297,16563.06133783146
1298,16663.060064934107
1299,16763.058796739497
1300,16863.057532483654
1301,16963.056271530222
1302,17063.055013346748
1303,17163.053757487214
1304,17263.052503580402
1305,17363.051251311263
1306,17463.050000419025
1307,17563.04875068381
1308,17663.047501919646
1309,17763.04625397359
1310,17863.045006712637
1311,17963.043760029977
1312,18063.04251383175
1313,18163.041268041707
1314,18263.040022595378
1315,18363.038777437032
1316,18463.037532522576
1317,18563.036287812865
1318,18663.035043273994
1319,18763.033798879624
1320,18863.032554605597
1321,18963.031310434162
1322,19063.030066349165
1323,19163.028822336055
1324,19263.027578383626
1325,19363.026334483147
1326,19463.02509062458
1327,19563.023846803117
1328,19663.022603011486
1329,19763.02135924576
1330,19863.02011550215
1331,19963.018871775566
1332,20063.017628064263
1333,20163.01638436591
1334,20263.0151406776
1335,20363.013896999328
1336,20463.012653328187
1337,20563.011409662722
1338,20663.010166004242
1339,20763.0089223494
1340,20863.007678699214
1341,20963.00643505194
1342,21063.00519140772
1343,21163.003947765537
1344,21263.002704125392
1345,21363.00146048772
1346,21463.000216850487
1347,21562.99897321529
1348,21662.997729581548
1349,21762.99648594795
1350,21862.99524231552
1351,21962.993998682796
1352,22062.992755050363
1353,22162.99151141866
1354,22262.99026778739
1355,22362.989024156268
1356,22462.987780525145
1357,22562.986536893877
1358,22662.985293262027
1359,22762.98404963003
1360,22862.982805998472
1361,22962.98156236662
1362,23062.980318734917
1363,23162.979075103794
