ts,pair,side,rsi,sma_short,sma_long,price,qty,pnl,win,bal_jpy,bal_btc,bal_eth,bal_xrp,spread,slippage
1757707113957,btc_jpy,ask,99.00990099009901,985,959.5,17188470,0,,,,,,,,
1757707118334,btc_jpy,ask,99.00990099009901,985,959.5,17188470,0,,,,,,,,
1757707118928,btc_jpy,ask,99.00990099009901,985,959.5,17188470,0,,,,,,,,
1757707119482,btc_jpy,ask,99.00990099009901,985,959.5,17188470,0,,,,,,,,
1757707120079,btc_jpy,ask,99.00990099009901,985,959.5,17188470,0,,,,,,,,
1757707267990,btc_jpy,ask,99.00990099009901,985,959.5,17200000,0,,,,,,,,
1757707272714,btc_jpy,ask,99.00990099009901,985,959.5,17200000,0,,,,,,,,
1757707273282,btc_jpy,ask,99.00990099009901,985,959.5,17200000,0,,,,,,,,
1757707273843,btc_jpy,ask,99.00990099009901,985,959.5,17200000,0,,,,,,,,
1757707274441,btc_jpy,ask,99.00990099009901,985,959.5,17200000,0,,,,,,,,
1757707393294,btc_jpy,ask,99.00990099009901,985,959.5,17200000,0,,,,,,,,
1757707397440,btc_jpy,ask,99.00990099009901,985,959.5,17200000,0,,,,,,,,
1757707398002,btc_jpy,ask,99.00990099009901,985,959.5,17200000,0,,,,,,,,
1757707398565,btc_jpy,ask,99.00990099009901,985,959.5,17200000,0,,,,,,,,
1757707399166,btc_jpy,ask,99.00990099009901,985,959.5,17200000,0,,,,,,,,
1757709794498,btc_jpy,ask,99.00990099009901,985,959.5,17139865,0,,,,,,,,
1757709799120,btc_jpy,ask,99.00990099009901,985,959.5,17139865,0,,,,,,,,
1757709799696,btc_jpy,ask,99.00990099009901,985,959.5,17139865,0,,,,,,,,
1757709800252,btc_jpy,ask,99.00990099009901,985,959.5,17139865,0,,,,,,,,
1757709800835,btc_jpy,ask,99.00990099009901,985,959.5,17139865,0,,,,,,,,
1757716592777,btc_jpy,ask,99.00990099009901,985,959.5,17139995,0,,,,,,,,,,,,
1757716597588,btc_jpy,ask,99.00990099009901,985,959.5,17139995,0,,,,,,,,,,,,
1757716598162,btc_jpy,ask,99.00990099009901,985,959.5,17139995,0,,,,,,,,,,,,
1757716599278,btc_jpy,ask,99.00990099009901,985,959.5,17139995,0,,,,,,,,,,,,
1757716599880,btc_jpy,ask,99.00990099009901,985,959.5,17139995,0,,,,,,,,,,,,
