regime,count,total_pnl,avg_pnl,std_pnl,dominant_action,win_rate
SELL_BREAKDOWN,3207,141915.72896740807,44.25186434905147,255.86915007578872,SELL,0.3426878702837543
HIGH_VOLATILITY_RANGING,10624,101236.3197606071,9.529021061804132,714.0379940960369,SELL,0.4161332831325301
SELL_VOLUME_SURGE,1525,13624.255584544386,8.933938088225826,118.07255672099373,SELL,0.7888524590163934
STRONG_BEAR_TREND,118,714.1739344348898,6.052321478261778,50.980437432275394,SELL,0.4152542372881356
CONSOLIDATION,97,0.0,0.0,0.0,SELL,0.0
LOW_VOLATILITY_RANGING,4,-13.240645894315097,-3.3101614735787743,11.518228136672073,SELL,0.25
SELL_MOMENTUM_WEAK,1,-25.25369851081632,-25.25369851081632,,BUY,0.0
MODERATE_BULL_TREND,47,-135.0268605434103,-2.8729119264555383,74.84045400723181,SELL,0.3617021276595745
MODERATE_VOLATILITY_RANGING,68,-159.6498661317164,-2.3477921489958296,23.306819219611747,SELL,0.25
MODERATE_BEAR_TREND,34,-221.26691779040266,-6.507850523247137,57.47726539250134,SELL,0.4411764705882353
WEAK_BULL_TREND,84,-620.4218034188962,-7.385973850224954,60.337715462837494,SELL,0.3333333333333333
WEAK_BEAR_TREND,53,-689.1745632780949,-13.003293646756507,72.42394638008608,SELL,0.39622641509433965
STRONG_BULL_TREND,89,-1519.0005757964682,-17.067422199960316,34.77052891951374,SELL,0.1348314606741573
EXTREME_VOLATILITY,529,-2216.8523126959335,-4.190647093943164,160.2829260008234,SELL,0.29867674858223064
BUY_VOLUME_SURGE,222,-15084.567812795169,-67.9485036612395,298.1280033226338,SELL,0.18468468468468469
BUY_BREAKOUT,3296,-148095.3262675031,-44.931834425820114,370.9678857063841,SELL,0.17566747572815533
