timestamp,close,high,low,open,volume,adj_close
2025-09-11 00:00:00+00:00,16788430.0,16800188.0,16788430.0,16791304.0,13608943616,16788430.0
2025-09-11 00:15:00+00:00,16784664.0,16792368.0,16780900.0,16786312.0,6290931712,16784664.0
2025-09-11 00:30:00+00:00,16769828.0,16782700.0,16764972.0,16781886.0,14545321984,16769828.0
2025-09-11 00:45:00+00:00,16796358.0,16796358.0,16770301.0,16771919.0,0,16796358.0
2025-09-11 01:00:00+00:00,16807588.0,16807588.0,16790840.0,16795710.0,8652324864,16807588.0
2025-09-11 01:15:00+00:00,16798722.0,16823338.0,16798722.0,16810226.0,27528790016,16798722.0
2025-09-11 01:30:00+00:00,16788862.0,16812890.0,16779502.0,16801204.0,227280420864,16788862.0
2025-09-11 01:45:00+00:00,16794504.0,16796366.0,16782018.0,16788378.0,122526105600,16794504.0
2025-09-11 02:00:00+00:00,16793998.0,16793998.0,16778926.0,16792674.0,127581290496,16793998.0
2025-09-11 02:15:00+00:00,16776517.0,16797404.0,16775655.0,16797404.0,2306342912,16776517.0
2025-09-11 02:30:00+00:00,16794360.0,16800052.0,16772842.0,16773139.0,3365404672,16794360.0
2025-09-11 02:45:00+00:00,16791330.0,16794570.0,16788986.0,16794280.0,118538371072,16791330.0
2025-09-11 03:00:00+00:00,16801456.0,16801456.0,16785954.0,16791688.0,7475822592,16801456.0
2025-09-11 03:15:00+00:00,16832328.0,16832988.0,16797250.0,16797250.0,31868321792,16832328.0
2025-09-11 03:30:00+00:00,16843008.0,16843008.0,16819866.0,16830118.0,124607528960,16843008.0
2025-09-11 03:45:00+00:00,16869848.0,16870248.0,16840972.0,16840972.0,62918754304,16869848.0
2025-09-11 04:00:00+00:00,16846248.0,16870034.0,16844864.0,16870034.0,159739019264,16846248.0
2025-09-11 04:15:00+00:00,16845572.0,16849434.0,16831598.0,16843822.0,331273469952,16845572.0
2025-09-11 04:30:00+00:00,16837576.0,16844200.0,16824804.0,16844200.0,213400420352,16837576.0
2025-09-11 04:45:00+00:00,16829926.0,16835010.0,16825330.0,16833076.0,2789736448,16829926.0
2025-09-11 05:00:00+00:00,16834182.0,16840280.0,16827128.0,16831168.0,114654445568,16834182.0
2025-09-11 05:15:00+00:00,16820518.0,16831456.0,16809786.0,16829348.0,139402412032,16820518.0
2025-09-11 05:30:00+00:00,16859532.0,16859532.0,16829730.0,16829730.0,22890938368,16859532.0
2025-09-11 05:45:00+00:00,16866974.0,16866974.0,16853256.0,16858920.0,24149753856,16866974.0
2025-09-11 06:00:00+00:00,16865226.0,16865226.0,16843980.0,16858488.0,111959605248,16865226.0
2025-09-11 06:15:00+00:00,16877996.0,16881084.0,16858604.0,16865994.0,7531921408,16877996.0
2025-09-11 06:30:00+00:00,16900760.0,16901848.0,16882304.0,16882304.0,6993477632,16900760.0
2025-09-11 06:45:00+00:00,16895710.0,16908554.0,16895710.0,16904916.0,115167723520,16895710.0
2025-09-11 07:00:00+00:00,16848420.0,16895690.0,16841188.0,16895690.0,7523008512,16848420.0
2025-09-11 07:15:00+00:00,16853428.0,16854038.0,16843624.0,16850010.0,10561257472,16853428.0
2025-09-11 07:30:00+00:00,16878956.0,16878956.0,16855420.0,16861718.0,200900345856,16878956.0
2025-09-11 07:45:00+00:00,16862272.0,16883978.0,16856760.0,16880402.0,0,16862272.0
2025-09-11 08:00:00+00:00,16876090.0,16876204.0,16851252.0,16857612.0,129375404032,16876090.0
2025-09-11 08:15:00+00:00,16870166.0,16874586.0,16866998.0,16874586.0,55124688896,16870166.0
2025-09-11 08:30:00+00:00,16870280.0,16875148.0,16870242.0,16874394.0,122924040192,16870280.0
2025-09-11 08:45:00+00:00,16864504.0,16873700.0,16859794.0,16873700.0,0,16864504.0
2025-09-11 09:00:00+00:00,16846016.0,16871992.0,16843074.0,16865334.0,0,16846016.0
2025-09-11 09:15:00+00:00,16864256.0,16867560.0,16849692.0,16849692.0,5525995520,16864256.0
2025-09-11 09:30:00+00:00,16848580.0,16860456.0,16846376.0,16850552.0,113530896384,16848580.0
2025-09-11 09:45:00+00:00,16848718.0,16850772.0,16836794.0,16845108.0,2556952576,16848718.0
2025-09-11 10:00:00+00:00,16854604.0,16856286.0,16850538.0,16850538.0,0,16854604.0
2025-09-11 10:15:00+00:00,16862606.0,16863018.0,16854148.0,16857696.0,354942976,16862606.0
2025-09-11 10:30:00+00:00,16879102.0,16882944.0,16863928.0,16865866.0,4950851584,16879102.0
2025-09-11 10:45:00+00:00,16880092.0,16883650.0,16875642.0,16879582.0,7738490880,16880092.0
2025-09-11 11:00:00+00:00,16877258.0,16877258.0,16869748.0,16875218.0,103536918528,16877258.0
2025-09-11 11:15:00+00:00,16856732.0,16877396.0,16856732.0,16877396.0,13421772800,16856732.0
2025-09-11 11:30:00+00:00,16871034.0,16871034.0,16855322.0,16857296.0,5823791104,16871034.0
2025-09-11 11:45:00+00:00,16868280.0,16871790.0,16863442.0,16871790.0,3263168512,16868280.0
2025-09-11 12:00:00+00:00,16913620.0,16918984.0,16871086.0,16871086.0,144900096000,16913620.0
2025-09-11 12:15:00+00:00,16902364.0,16906388.0,16881676.0,16906388.0,12877037568,16902364.0
2025-09-11 12:30:00+00:00,16808432.0,16849508.0,16777782.0,16794166.0,164937859072,16808432.0
2025-09-11 12:45:00+00:00,16817262.0,16855626.0,16807670.0,16807670.0,153468534784,16817262.0
2025-09-11 13:00:00+00:00,16736545.0,16815626.0,16735432.0,16815010.0,4379901952,16736545.0
2025-09-11 13:15:00+00:00,16780366.0,16787766.0,16735014.0,16735014.0,174034780160,16780366.0
2025-09-11 13:30:00+00:00,16799726.0,16827200.0,16780180.0,16805004.0,5233442816,16799726.0
2025-09-11 13:45:00+00:00,16892656.0,16899336.0,16787252.0,16787252.0,48951197696,16892656.0
2025-09-11 14:00:00+00:00,16823342.0,16878560.0,16812928.0,16878560.0,185282330624,16823342.0
2025-09-11 14:15:00+00:00,16801834.0,16811160.0,16759352.0,16811160.0,129119551488,16801834.0
2025-09-11 14:30:00+00:00,16839074.0,16839074.0,16796200.0,16796858.0,680525824,16839074.0
2025-09-11 14:45:00+00:00,16852872.0,16855896.0,16834792.0,16844240.0,170937810944,16852872.0
2025-09-11 15:00:00+00:00,16862632.0,16868844.0,16850952.0,16852256.0,88395481088,16862632.0
2025-09-11 15:15:00+00:00,16839070.0,16875300.0,16834542.0,16861992.0,235319328768,16839070.0
2025-09-11 15:30:00+00:00,16824132.0,16848128.0,16823732.0,16842938.0,2070937600,16824132.0
2025-09-11 15:45:00+00:00,16800944.0,16822116.0,16784908.0,16822116.0,41732800512,16800944.0
2025-09-11 16:00:00+00:00,16807456.0,16819398.0,16802302.0,16806744.0,422670499840,16807456.0
2025-09-11 16:15:00+00:00,16825802.0,16826784.0,16809224.0,16809224.0,75977719808,16825802.0
2025-09-11 16:30:00+00:00,16852008.0,16852008.0,16821950.0,16822024.0,98288795648,16852008.0
2025-09-11 16:45:00+00:00,16842538.0,16853674.0,16832474.0,16853674.0,104172879872,16842538.0
2025-09-11 17:00:00+00:00,16844368.0,16844368.0,16831832.0,16841322.0,67860168704,16844368.0
2025-09-11 17:15:00+00:00,16849184.0,16851304.0,16823714.0,16840032.0,459100651520,16849184.0
2025-09-11 17:30:00+00:00,16866838.0,16866838.0,16846204.0,16848184.0,0,16866838.0
2025-09-11 17:45:00+00:00,16874722.0,16877328.0,16862682.0,16869166.0,0,16874722.0
