timestamp,step,critic_loss,actor_loss,ent_coef,ent_coef_loss,learning_rate,fps,episode_reward_mean,episode_reward_std,episode_length_mean,q_value_mean,q_value_std,q_value_min,q_value_max,total_episodes
2025-10-13T15:04:47.550780,100,,,,,,,,,,,,,,
2025-10-13T15:04:47.632343,200,,,,,,,,,,,,,,
2025-10-13T15:04:47.707900,300,,,,,,,,,,,,,,
2025-10-13T15:04:47.789875,400,,,,,,,,,,,,,,
2025-10-13T15:04:47.867784,500,,,,,,,,,,,,,,
2025-10-13T15:04:51.952180,600,173.76968383789062,-2.4483418464660645,-0.04916996881365776,,0.0003,,,,,,,,,
2025-10-13T15:04:53.680476,700,206.50180053710938,-3.461484670639038,-0.09295985102653503,,0.0003,,,,,,,,,
2025-10-13T15:04:55.449888,800,146.44784545898438,-4.180022716522217,-0.12843728065490723,,0.0003,,,,,,,,,
2025-10-13T15:04:57.201706,900,141.41842651367188,-4.929680347442627,-0.15531089901924133,,0.0003,,,,,,,,,
2025-10-13T15:04:59.128168,1000,160.74468994140625,-6.3790507316589355,-0.18586409091949463,,0.0003,,,,,,,,,
2025-10-13T15:05:01.256103,1100,163.80218505859375,-7.082690238952637,-0.18555274605751038,,0.0003,,,,,,,,,
2025-10-13T15:05:03.203576,1200,148.71939086914062,-7.858334541320801,-0.21132776141166687,,0.0003,,,,,,,,,
2025-10-13T15:05:05.110477,1300,127.5654067993164,-9.51137638092041,-0.2311982959508896,,0.0003,,,,,,,,,
2025-10-13T15:05:07.052618,1400,144.17071533203125,-10.140097618103027,-0.18591342866420746,,0.0003,,,,,,,,,
2025-10-13T15:05:08.887227,1500,122.82804870605469,-12.730990409851074,-0.18613620102405548,,0.0003,,,,,,,,,
2025-10-13T15:05:10.819283,1600,133.48016357421875,-15.34262466430664,-0.09177955985069275,,0.0003,,,,,,,,,
2025-10-13T15:05:12.739080,1700,108.39654541015625,-17.363994598388672,-0.13827936351299286,,0.0003,,,,,,,,,
2025-10-13T15:05:14.663251,1800,126.27079772949219,-20.337486267089844,-0.07491748780012131,,0.0003,,,,,,,,,
2025-10-13T15:05:16.673916,1900,96.61771392822266,-21.96222496032715,-0.0770096629858017,,0.0003,,,,,,,,,
