timestamp,step,critic_loss,actor_loss,ent_coef,ent_coef_loss,learning_rate,fps,episode_reward_mean,episode_reward_std,episode_length_mean,q_value_mean,q_value_std,q_value_min,q_value_max,total_episodes
2025-10-13T05:17:58.256545,100,,,,,,,,,,,,,,
2025-10-13T05:17:58.334995,200,,,,,,,,,,,,,,
2025-10-13T05:17:58.410230,300,,,,,,,,,,,,,,
2025-10-13T05:17:58.484976,400,,,,,,,,,,,,,,
2025-10-13T05:17:58.561249,500,,,,,,,,,,,,,,
2025-10-13T05:18:00.293096,600,167.1433868408203,-2.2849795818328857,-0.04925362393260002,,0.0003,,,,,,,,,
2025-10-13T05:18:02.042029,700,122.22808837890625,-2.8365235328674316,-0.09502047300338745,,0.0003,,,,,,,,,
2025-10-13T05:18:08.613480,800,180.69204711914062,-3.669510841369629,-0.13468296825885773,,0.0003,,,,,,,,,
2025-10-13T05:18:10.409178,900,124.88093566894531,-5.042044639587402,-0.12532685697078705,,0.0003,,,,,,,,,
2025-10-13T05:18:12.249731,1000,138.6538543701172,-6.329603672027588,-0.10423620045185089,,0.0003,,,,,,,,,
2025-10-13T05:18:14.359357,1100,150.23956298828125,-7.625890731811523,-0.0997573658823967,,0.0003,,,,,,,,,
2025-10-13T05:18:16.120272,1200,98.86679077148438,-8.613569259643555,-0.12104250490665436,,0.0003,,,,,,,,,
2025-10-13T05:18:18.000309,1300,96.21296691894531,-10.785026550292969,-0.09046392142772675,,0.0003,,,,,,,,,
2025-10-13T05:18:19.930447,1400,98.03425598144531,-12.916131973266602,-0.08100996166467667,,0.0003,,,,,,,,,
2025-10-13T05:18:21.761909,1500,103.95147705078125,-14.439630508422852,-0.10607882589101791,,0.0003,,,,,,,,,
2025-10-13T05:18:23.644817,1600,63.76275634765625,-16.479108810424805,-0.05164095759391785,,0.0003,,,,,,,,,
2025-10-13T05:18:25.488010,1700,78.94302368164062,-19.015811920166016,-0.07856535166501999,,0.0003,,,,,,,,,
2025-10-13T05:18:27.413096,1800,70.83544158935547,-22.58201789855957,-0.04287756234407425,,0.0003,,,,,,,,,
2025-10-13T05:18:29.420933,1900,71.38873291015625,-24.57402229309082,-0.08508870005607605,,0.0003,,,,,,,,,
2025-10-13T05:18:31.495820,2000,76.12556457519531,-25.410104751586914,-0.05405951291322708,,0.0003,,,,,,,,,
2025-10-13T05:18:33.794280,2100,75.24951171875,-28.765586853027344,-0.09145645052194595,,0.0003,,,,,,,,,
2025-10-13T05:18:35.882910,2200,69.17408752441406,-31.453598022460938,-0.1353757083415985,,0.0003,,,,,,,,,
2025-10-13T05:18:37.968886,2300,40.59667205810547,-33.49359130859375,-0.09098798036575317,,0.0003,,,,,,,,,
2025-10-13T05:18:40.060516,2400,66.3167724609375,-34.65262222290039,-0.10572236776351929,,0.0003,,,,,,,,,
2025-10-13T05:18:42.094007,2500,55.196407318115234,-37.892642974853516,-0.17128615081310272,,0.0003,,,,,,,,,
2025-10-13T05:18:44.233008,2600,61.77558898925781,-39.5932731628418,-0.21352249383926392,,0.0003,,,,,,,,,
2025-10-13T05:18:46.318583,2700,39.5504150390625,-42.41432571411133,-0.26595669984817505,,0.0003,,,,,,,,,
2025-10-13T05:18:48.402261,2800,59.03337478637695,-44.0281982421875,-0.20834499597549438,,0.0003,,,,,,,,,
2025-10-13T05:18:50.448742,2900,39.18891143798828,-47.00468826293945,-0.307056725025177,,0.0003,,,,,,,,,
2025-10-13T05:18:52.595598,3000,20.88167381286621,-49.8623046875,-0.4063110947608948,,0.0003,,,,,,,,,
2025-10-13T05:18:56.865669,3100,51.10548400878906,-51.26795959472656,-0.3159921169281006,,0.0003,,,,,,,,,
2025-10-13T05:18:58.950525,3200,68.22657775878906,-53.42308044433594,-0.3024618625640869,,0.0003,,,,,,,,,
2025-10-13T05:19:01.016143,3300,37.141693115234375,-55.804500579833984,-0.3761783540248871,,0.0003,,,,,,,,,
2025-10-13T05:19:03.226536,3400,58.74574279785156,-57.61891174316406,-0.4067988395690918,,0.0003,,,,,,,,,
2025-10-13T05:19:07.972362,3500,39.164180755615234,-60.016563415527344,-0.4768558144569397,,0.0003,,,,,,,,,
2025-10-13T05:19:10.075052,3600,40.09136962890625,-62.68415832519531,-0.39442697167396545,,0.0003,,,,,,,,,
2025-10-13T05:19:12.191435,3700,30.7421932220459,-64.8699951171875,-0.4876183271408081,,0.0003,,,,,,,,,
2025-10-13T05:19:14.255126,3800,30.269268035888672,-68.18284606933594,-0.5308325290679932,,0.0003,,,,,,,,,
2025-10-13T05:19:16.344355,3900,58.112545013427734,-69.24240112304688,-0.4470347464084625,,0.0003,,,,,,,,,
2025-10-13T05:19:18.529607,4000,35.96179962158203,-70.7800064086914,-0.5194166302680969,,0.0003,,,,,,,,,
2025-10-13T05:19:21.052594,4100,33.80684280395508,-73.28330993652344,-0.47070157527923584,,0.0003,,,,,,,,,
2025-10-13T05:19:23.158992,4200,27.155595779418945,-75.4785385131836,-0.31886813044548035,,0.0003,,,,,,,,,
2025-10-13T05:19:25.270414,4300,46.36481857299805,-77.75785064697266,-0.48761096596717834,,0.0003,,,,,,,,,
2025-10-13T05:19:27.358765,4400,41.050472259521484,-80.58509826660156,-0.4741838276386261,,0.0003,,,,,,,,,
2025-10-13T05:19:29.411583,4500,41.390464782714844,-83.69831085205078,-0.43765345215797424,,0.0003,,,,,,,,,
2025-10-13T05:19:31.508227,4600,43.13929748535156,-85.11512756347656,-0.4930879473686218,,0.0003,,,,,,,,,
2025-10-13T05:19:33.595749,4700,20.62466812133789,-86.84689331054688,-0.49444758892059326,,0.0003,,,,,,,,,
2025-10-13T05:19:35.683071,4800,43.553123474121094,-90.40204620361328,-0.5912386775016785,,0.0003,,,,,,,,,
