portfolio_value,action
1000000.0,-0.12583745
1000000.0,-0.056495488
1000000.0,-0.14527321
1000000.0,-0.08061761
1000000.0,-0.01683724
1000000.0,-0.018520474
1000000.0,-0.14681149
1000000.0,-0.12791616
1000000.0,-0.021653175
1000000.0,0.0021390915
1000000.0,0.011883974
1000000.0,-0.0796814
1000000.0,0.04933119
1000000.0,0.20590103
1000000.0,0.053955197
1000000.0,-0.08093417
1000000.0,0.027549505
1000000.0,0.10121775
1000000.0,0.17849004
1000000.0,-0.11405754
1000000.0,0.045832276
1000000.0,0.015166402
1000000.0,-0.072105646
1000000.0,0.092482924
1000000.0,-0.017233014
1000000.0,0.043788433
1000000.0,-0.1793673
1000000.0,-0.036635816
1000000.0,-0.14880651
1000000.0,0.15929341
1000000.0,0.22502029
1000000.0,-0.008896351
1000000.0,-0.0034108162
1000000.0,0.11987066
1000000.0,0.25300586
1000000.0,0.025340319
1000000.0,0.03465438
1000000.0,0.07093239
1000000.0,-0.030869126
1000000.0,0.011130691
1000000.0,-0.094463825
1000000.0,0.016345024
1000000.0,-0.055590034
1000000.0,0.078394294
1000000.0,0.0030212402
1000000.0,-0.0046904087
1000000.0,-0.019148707
1000000.0,-0.099306464
1000000.0,-0.16215885
1000000.0,-0.03814435
1000000.0,0.024673462
1000000.0,-0.08050698
1000000.0,0.036862135
1000000.0,0.100224614
1000000.0,0.09279287
1000000.0,0.11701608
1000000.0,-0.02464211
1000000.0,0.11351621
1000000.0,0.003201127
1000000.0,0.08584714
1000000.0,0.10990596
1000000.0,0.16550303
1000000.0,0.07977402
1000000.0,-0.04789561
1000000.0,0.016874671
1000000.0,0.19102407
1000000.0,0.07087076
1000000.0,0.043215156
1000000.0,0.002047658
1000000.0,0.16067922
1000000.0,-0.059737623
1000000.0,0.0878526
1000000.0,0.047715425
1000000.0,0.030457973
1000000.0,0.14404225
1000000.0,0.037554264
1000000.0,0.11986792
1000000.0,0.1786834
1000000.0,-0.0044409633
1000000.0,0.09305239
1000000.0,0.097160935
1000000.0,0.05419433
1000000.0,0.047501326
1000000.0,0.09467113
1000000.0,0.13801897
1000000.0,0.08989906
1000000.0,0.14856327
1000000.0,-0.094629586
1000000.0,0.022074461
1000000.0,0.05979204
1000000.0,0.04279518
1000000.0,-0.05146402
1000000.0,0.051355958
1000000.0,0.04330802
1000000.0,0.019761086
1000000.0,-0.04276663
1000000.0,-0.05267477
1000000.0,0.035210967
1000000.0,-0.06269604
1000000.0,-0.22030461
1000000.0,-0.039750695
1000000.0,-0.1676529
1000000.0,0.07962072
1000000.0,-0.0783149
1000000.0,-0.010118544
1000000.0,0.016565204
1000000.0,-0.10851812
1000000.0,0.022089362
1000000.0,0.07956755
1000000.0,0.08476114
1000000.0,0.016980648
1000000.0,0.05763781
1000000.0,0.01774335
1000000.0,0.1400044
1000000.0,0.13133621
1000000.0,0.16193664
1000000.0,0.14367175
1000000.0,0.01643598
1000000.0,0.06554258
1000000.0,0.07948542
1000000.0,0.014598608
1000000.0,0.0008097887
1000000.0,0.05039215
1000000.0,-0.03683728
1000000.0,0.21926856
1000000.0,0.10319126
1000000.0,-0.032767773
1000000.0,0.046308994
1000000.0,-0.07671225
1000000.0,-0.020583093
1000000.0,0.013041735
1000000.0,0.15169263
1000000.0,-0.023648858
1000000.0,0.12706983
1000000.0,-0.14328039
