pair,SELL_RSI_OVERBOUGHT,BUY_RSI_OVERSOLD,SMA_SHORT,SMA_LONG,winRate,pnl,trades,avgHoldSec
btc_jpy,65,35,9,33,0,0,0,0
btc_jpy,65,35,9,35,0,0,0,0
btc_jpy,65,35,11,21,0,0,0,0
btc_jpy,65,35,11,23,0,0,0,0
btc_jpy,65,35,11,25,0,0,0,0
btc_jpy,65,35,11,27,0,0,0,0
btc_jpy,65,35,11,29,0,0,0,0
btc_jpy,65,35,11,31,0,0,0,0
btc_jpy,65,35,11,33,0,0,0,0
btc_jpy,65,35,11,35,0,0,0,0
btc_jpy,65,35,13,21,0,0,0,0
btc_jpy,65,35,13,23,0,0,0,0
btc_jpy,65,35,13,25,0,0,0,0
btc_jpy,65,35,13,27,0,0,0,0
btc_jpy,65,35,13,29,0,0,0,0
btc_jpy,65,35,13,31,0,0,0,0
btc_jpy,65,35,13,33,0,0,0,0
btc_jpy,65,35,13,35,0,0,0,0
btc_jpy,65,35,15,21,0,0,0,0
btc_jpy,65,35,15,23,0,0,0,0
btc_jpy,65,35,15,25,0,0,0,0
btc_jpy,65,35,15,27,0,0,0,0
btc_jpy,65,35,15,29,0,0,0,0
btc_jpy,65,35,15,31,0,0,0,0
btc_jpy,65,35,15,33,0,0,0,0
btc_jpy,65,35,15,35,0,0,0,0
btc_jpy,70,20,7,21,0,0,0,0
btc_jpy,70,20,7,23,0,0,0,0
btc_jpy,70,20,7,25,0,0,0,0
btc_jpy,70,20,7,27,0,0,0,0
btc_jpy,70,20,7,29,0,0,0,0
btc_jpy,70,20,7,31,0,0,0,0
btc_jpy,70,20,7,33,0,0,0,0
btc_jpy,70,20,7,35,0,0,0,0
btc_jpy,70,20,9,21,0,0,0,0
btc_jpy,70,20,9,23,0,0,0,0
btc_jpy,70,20,9,25,0,0,0,0
btc_jpy,70,20,9,27,0,0,0,0
btc_jpy,70,20,9,29,0,0,0,0
btc_jpy,70,20,9,31,0,0,0,0
btc_jpy,70,20,9,33,0,0,0,0
btc_jpy,70,20,9,35,0,0,0,0
btc_jpy,70,20,11,21,0,0,0,0
btc_jpy,70,20,11,23,0,0,0,0
btc_jpy,70,20,11,25,0,0,0,0
btc_jpy,70,20,11,27,0,0,0,0
btc_jpy,70,20,11,29,0,0,0,0
btc_jpy,70,20,11,31,0,0,0,0
btc_jpy,70,20,11,33,0,0,0,0
btc_jpy,70,20,11,35,0,0,0,0
btc_jpy,70,20,13,21,0,0,0,0
btc_jpy,70,20,13,23,0,0,0,0
btc_jpy,70,20,13,25,0,0,0,0
btc_jpy,70,20,13,27,0,0,0,0
btc_jpy,70,20,13,29,0,0,0,0
btc_jpy,70,20,13,31,0,0,0,0
btc_jpy,70,20,13,33,0,0,0,0
btc_jpy,70,20,13,35,0,0,0,0
btc_jpy,70,20,15,21,0,0,0,0
btc_jpy,70,20,15,23,0,0,0,0
btc_jpy,70,20,15,25,0,0,0,0
btc_jpy,70,20,15,27,0,0,0,0
btc_jpy,70,20,15,29,0,0,0,0
btc_jpy,70,20,15,31,0,0,0,0
btc_jpy,70,20,15,33,0,0,0,0
btc_jpy,70,20,15,35,0,0,0,0
btc_jpy,70,25,7,21,0,0,0,0
btc_jpy,70,25,7,23,0,0,0,0
btc_jpy,70,25,7,25,0,0,0,0
btc_jpy,70,25,7,27,0,0,0,0
btc_jpy,70,25,7,29,0,0,0,0
btc_jpy,70,25,7,31,0,0,0,0
btc_jpy,70,25,7,33,0,0,0,0
btc_jpy,70,25,7,35,0,0,0,0
btc_jpy,70,25,9,21,0,0,0,0
btc_jpy,70,25,9,23,0,0,0,0
btc_jpy,70,25,9,25,0,0,0,0
btc_jpy,70,25,9,27,0,0,0,0
btc_jpy,70,25,9,29,0,0,0,0
btc_jpy,70,25,9,31,0,0,0,0
btc_jpy,70,25,9,33,0,0,0,0
btc_jpy,70,25,9,35,0,0,0,0
btc_jpy,70,25,11,21,0,0,0,0
btc_jpy,70,25,11,23,0,0,0,0
btc_jpy,70,25,11,25,0,0,0,0
btc_jpy,70,25,11,27,0,0,0,0
btc_jpy,70,25,11,29,0,0,0,0
btc_jpy,70,25,11,31,0,0,0,0
btc_jpy,70,25,11,33,0,0,0,0
btc_jpy,70,25,11,35,0,0,0,0
btc_jpy,70,25,13,21,0,0,0,0
btc_jpy,70,25,13,23,0,0,0,0
btc_jpy,70,25,13,25,0,0,0,0
btc_jpy,70,25,13,27,0,0,0,0
btc_jpy,70,25,13,29,0,0,0,0
btc_jpy,70,25,13,31,0,0,0,0
btc_jpy,70,25,13,33,0,0,0,0
btc_jpy,70,25,13,35,0,0,0,0
btc_jpy,70,25,15,21,0,0,0,0
btc_jpy,70,25,15,23,0,0,0,0
btc_jpy,70,25,15,25,0,0,0,0
btc_jpy,70,25,15,27,0,0,0,0
btc_jpy,70,25,15,29,0,0,0,0
btc_jpy,70,25,15,31,0,0,0,0
btc_jpy,70,25,15,33,0,0,0,0
btc_jpy,70,25,15,35,0,0,0,0
btc_jpy,70,30,7,21,0,0,0,0
btc_jpy,70,30,7,23,0,0,0,0
btc_jpy,70,30,7,25,0,0,0,0
btc_jpy,70,30,7,27,0,0,0,0
btc_jpy,70,30,7,29,0,0,0,0
btc_jpy,70,30,7,31,0,0,0,0
btc_jpy,70,30,7,33,0,0,0,0
btc_jpy,70,30,7,35,0,0,0,0
btc_jpy,70,30,9,21,0,0,0,0
btc_jpy,70,30,9,23,0,0,0,0
btc_jpy,70,30,9,25,0,0,0,0
btc_jpy,70,30,9,27,0,0,0,0
btc_jpy,70,30,9,29,0,0,0,0
btc_jpy,70,30,9,31,0,0,0,0
btc_jpy,70,30,9,33,0,0,0,0
btc_jpy,70,30,9,35,0,0,0,0
btc_jpy,70,30,11,21,0,0,0,0
btc_jpy,70,30,11,23,0,0,0,0
btc_jpy,70,30,11,25,0,0,0,0
btc_jpy,70,30,11,27,0,0,0,0
btc_jpy,70,30,11,29,0,0,0,0
btc_jpy,70,30,11,31,0,0,0,0
btc_jpy,70,30,11,33,0,0,0,0
btc_jpy,70,30,11,35,0,0,0,0
btc_jpy,70,30,13,21,0,0,0,0
btc_jpy,70,30,13,23,0,0,0,0
btc_jpy,70,30,13,25,0,0,0,0
btc_jpy,70,30,13,27,0,0,0,0
btc_jpy,70,30,13,29,0,0,0,0
btc_jpy,70,30,13,31,0,0,0,0
btc_jpy,70,30,13,33,0,0,0,0
btc_jpy,70,30,13,35,0,0,0,0
btc_jpy,70,30,15,21,0,0,0,0
btc_jpy,70,30,15,23,0,0,0,0
btc_jpy,70,30,15,25,0,0,0,0
