ts,pair,side,rsi,sma_short,sma_long,price,qty,pnl,win,source,ADX,ATR,ATR_simplified,BB_Lower,BB_Middle,BB_Position,BB_Upper,BB_Width,CCI,DOW,Donchian_Pos_20,Donchian_Slope_20,Donchian_Width_Rel_20,EMACross_Diff,EMACross_Signal,HV,HeikinAshi_Close,HeikinAshi_High,HeikinAshi_Low,HeikinAshi_Open,HourOfDay,Ichimoku_Chikou,Ichimoku_Cloud_Thickness,Ichimoku_Composite_Signal,Ichimoku_Cross,Ichimoku_Diff_Norm,Ichimoku_Kijun,Ichimoku_Price_Cloud_Distance,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Tenkan,Ichimoku_Trend,KAMA,Kalman_Estimate,Kalman_Residual,Kalman_Residual_Norm,MACD,MFI,MinusDI,OBV,PlusDI,PriceVolumeCorr,ROC,RSI,ReturnMA_Medium,ReturnMA_Short,ReturnStdDev,Stochastic,Supertrend,Supertrend_Direction,TEMA,VWAP,ZScore,atr_10,close,ema_5,high,low,open,rolling_mean_20,timestamp,volume
2025-09-26 00:00:00,BTC/JPY,buy,50.0,50.0,50.0,16342691.0,0.001,0.0,1,yahoo_finance_real,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16342691.0,16342691.0,16342691.0,16342691.0,0,16342691.0,0.0,0,0,0.0,16342691.0,0.0,16342691.0,16342691.0,16342691.0,0,16342691.0,16342691.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,16342691.0,0,16342691.0,16342691.0,0.0,0.0,16342691.0,50.0,16342691.0,16342691.0,16342691.0,50.0,2025-09-26 00:00:00,0.0
2025-09-26 00:01:00,BTC/JPY,sell,50.0,50.0,50.0,16333873.0,0.001,0.0,1,yahoo_finance_real,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16333873.0,16333873.0,16333873.0,16333873.0,0,16333873.0,0.0,0,0,0.0,16333873.0,0.0,16333873.0,16333873.0,16333873.0,0,16333873.0,16333873.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,16333873.0,0,16333873.0,16333873.0,0.0,0.0,16333873.0,50.0,16333873.0,16333873.0,16333873.0,50.0,2025-09-26 00:01:00,109022543872.0
2025-09-26 00:02:00,BTC/JPY,buy,50.0,50.0,50.0,16337888.0,0.001,0.0,1,yahoo_finance_real,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16337888.0,16337888.0,16337888.0,16337888.0,0,16337888.0,0.0,0,0,0.0,16337888.0,0.0,16337888.0,16337888.0,16337888.0,0,16337888.0,16337888.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,16337888.0,0,16337888.0,16337888.0,0.0,0.0,16337888.0,50.0,16337888.0,16337888.0,16337888.0,50.0,2025-09-26 00:02:00,2809135104.0
2025-09-26 00:03:00,BTC/JPY,sell,50.0,50.0,50.0,16342707.0,0.001,0.0,1,yahoo_finance_real,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16342707.0,16342707.0,16342707.0,16342707.0,0,16342707.0,0.0,0,0,0.0,16342707.0,0.0,16342707.0,16342707.0,16342707.0,0,16342707.0,16342707.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,16342707.0,0,16342707.0,16342707.0,0.0,0.0,16342707.0,50.0,16342707.0,16342707.0,16342707.0,50.0,2025-09-26 00:03:00,0.0
2025-09-26 00:04:00,BTC/JPY,buy,50.0,16346205.0,50.0,16373866.0,0.001,0.0,1,yahoo_finance_real,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16373866.0,16373866.0,16373866.0,16373866.0,0,16373866.0,0.0,0,0,0.0,16373866.0,0.0,16373866.0,16373866.0,16373866.0,0,16373866.0,16373866.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,16373866.0,0,16373866.0,16373866.0,0.0,0.0,16373866.0,16346205.0,16373866.0,16373866.0,16373866.0,50.0,2025-09-26 00:04:00,71114424320.0
2025-09-26 00:05:00,BTC/JPY,sell,50.0,16351954.0,50.0,16371436.0,0.001,0.0,1,yahoo_finance_real,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16371436.0,16376379.0,16371436.0,16376379.0,0,16371436.0,0.0,0,0,0.0,16371436.0,0.0,16371436.0,16371436.0,16371436.0,0,16371436.0,16371436.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,16371436.0,0,16371436.0,16371436.0,0.0,0.0,16371436.0,16351954.0,16376379.0,16371436.0,16376379.0,50.0,2025-09-26 00:05:00,0.0
2025-09-26 00:06:00,BTC/JPY,buy,50.0,16360584.4,50.0,16377025.0,0.001,0.0,1,yahoo_finance_real,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16377025.0,16377025.0,16377025.0,16377025.0,0,16377025.0,0.0,0,0,0.0,16377025.0,0.0,16377025.0,16377025.0,16377025.0,0,16377025.0,16377025.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,16377025.0,0,16377025.0,16377025.0,0.0,0.0,16377025.0,16360584.4,16377025.0,16377025.0,16377025.0,50.0,2025-09-26 00:06:00,3847225344.0
2025-09-26 00:07:00,BTC/JPY,sell,50.0,16370293.6,50.0,16386434.0,0.001,0.0,1,yahoo_finance_real,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16386434.0,16386434.0,16386434.0,16386434.0,0,16386434.0,0.0,0,0,0.0,16386434.0,0.0,16386434.0,16386434.0,16386434.0,0,16386434.0,16386434.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,16386434.0,0,16386434.0,16386434.0,0.0,0.0,16386434.0,16370293.6,16386434.0,16386434.0,16386434.0,50.0,2025-09-26 00:07:00,56541315072.0
2025-09-26 00:08:00,BTC/JPY,buy,50.0,16381016.4,50.0,16396321.0,0.001,0.0,1,yahoo_finance_real,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16396321.0,16396321.0,16396321.0,16396321.0,0,16396321.0,0.0,0,0,0.0,16396321.0,0.0,16396321.0,16396321.0,16396321.0,0,16396321.0,16396321.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,16396321.0,0,16396321.0,16396321.0,0.0,0.0,16396321.0,16381016.4,16396321.0,16396321.0,16396321.0,50.0,2025-09-26 00:08:00,119085727744.0
2025-09-26 00:09:00,BTC/JPY,sell,50.0,16382935.8,50.0,16383463.0,0.001,0.0,1,yahoo_finance_real,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,16383463.0,16383463.0,16383463.0,16383463.0,0,16383463.0,0.0,0,0,0.0,16383463.0,0.0,16383463.0,16383463.0,16383463.0,0,16383463.0,16383463.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,16383463.0,0,16383463.0,16383463.0,0.0,0.0,16383463.0,16382935.8,16383463.0,16383463.0,16383463.0,50.0,2025-09-26 00:09:00,0.0
